Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development
Balaenoptera Musculus,Balaenoptera_musculus,Balaenoptera musculus,Laurasiatheria,Cetacea,Balaenopteridae,NHMUK ZD,1892.3.1.1,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Solitary,All,Precocial
Barbourofelis Morrisi,Barbourofelis_morrisi,Barbourofelis morrisi,Laurasiatheria,Carnivora,Barbourofelidae,AMNH,F:AM 79999,Morphosource,Extinct,Miocene,Terrestrial,Carnivore,,,,
Bauerus Dubiaquercus,Bauerus_dubiaquercus,Bauerus dubiaquercus,Laurasiatheria,Chiroptera,Vespertilionidae,AMNH,M-278725,Morphosource,Extant,Recent,Volant,Invertivore,Closed,unknown,Nocturnal,Altricial
Bos Domestic,Bos_taurus,Bos taurus,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1981.984,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Brachyphylla Cavernarum,Brachyphylla_cavernarum,Brachyphylla cavernarum,Laurasiatheria,Chiroptera,Phyllostomidae,NHMUK ZD,1918.4.1.11,Phenome10K,Extant,Recent,Volant,Omnivore,Open,Social,Nocturnal,Altricial
Bradypus Tridactylus,Bradypus_tridactylus,Bradypus tridactylus,Xenarthra,Pilosa,Bradypodidae,LDUCZ,z.132,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Diurnal,Precocial
Brontops Brachycephalus,Brontops_brachycephalus,Brontops brachycephalus,Laurasiatheria,Perissodactyla,Brontotheriidae,ROM,1703,,Extinct,Eocene,Terrestrial,Herbivore,,,,
Cacajao Calvus,Cacajao_calvus,Cacajao calvus,Euarchontaglires,Primates,Pitheciidae,NHMUK ZD,1928.4.27.6,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Caenopus Copei,Caenopus_copei,Caenopus copei,Laurasiatheria,Perissodactyla,Rhinocerotidae,YPM,10253,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,
Cainotherium Laticurvatum,Cainotherium_laticurvatum,Cainotherium laticurvatum,Laurasiatheria,Artiodactyla,Cainotheriidae,MNHN.F,SG13456,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Callicebus Moloch,Callicebus_moloch,Plecturocebus moloch,Euarchontaglires,Primates,Pitheciidae,NHMUK ZD,1908.5.9.9,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Callorhinus Ursinus,Callorhinus_ursinus,Callorhinus ursinus,Laurasiatheria,Carnivora,Otariidae,MVZ,175109,Digimorph,Extant,Recent,Aquatic,Piscivore,Aquatic,Solitary,Diurnal,Altricial
Callosciurus Caniceps,Callosciurus_caniceps,Callosciurus caniceps,Euarchontaglires,Rodentia,Sciuridae,NHMUK ZD,1920.12.4.18,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Camelus Dromedarius,Camelus_dromedarius,Camelus dromedarius,Laurasiatheria,Artiodactyla,Camelidae,NMV,R5444,Digimorph,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Canis Lupus,Canis_lupus,Canis lupus,Laurasiatheria,Carnivora,Canidae,MNHN-ZO-AC,2015-1255,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Closed,Social,Diurnal,Altricial
