Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development
Acinonyx Jubatus,Acinonyx_jubatus,Acinonyx jubatus,Laurasiatheria,Carnivora,Felidae,AMNH,FM 145071,Morphosource,Extant,Recent,Terrestrial,Carnivore,Open,Solitary,Diurnal,Altricial
Acratocnus Odontrigonus,Acratocnus_odontrigonus,Acratocnus odontrigonus,Xenarthra,Pilosa,Megalonychidae,AMNH,FM 17721,Morphosource,Extinct,Pleistocene,Terrestrial,Herbivore,,,,
Adapis Magnus,Adapis_magnus,Adapis magnus,Euarchontaglires,Primates,Adapidae,MNHN.F,QU10875,Phenome10K,Extinct,Eocene,Arboreal,Herbivore,,,,
Adinotherium Ovinum,Adinotherium_ovinum,Adinotherium ovinum,Laurasiatheria,Notoungulata,Toxodontidae,MLP,12-Feb,,Extinct,Miocene,Terrestrial,Herbivore,,,,
Aelurocyon Sp,Aelurocyon_sp,Aelurocyon sp,Laurasiatheria,Carnivora,Mustelidae,AMNH,F:AM 25430,Morphosource,Extinct,Oligocene,Terrestrial,Carnivore,,,,
Aepyceros Melampus,Aepyceros_melampus,Aepyceros melampus,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1966.448,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Aetiocetus Cotylalveus,Aetiocetus_cotylalveus,Aetiocetus cotylalveus,Laurasiatheria,Cetacea,Aetiocetidae,USNM,25210,Phenome10K,Extinct,Oligocene,Aquatic,Carnivore,,,,
Agriochoerus Sp,Agriochoerus_sp,Agriochoerus sp,Laurasiatheria,Artiodactyla,Agriochoeridae,AMNH,F:AM 95330,Morphosource,Extinct,Oligocene,Semi-arboreal,Herbivore,,,,
Ailuropoda Melanoleuca,Ailuropoda_melanoleuca,Ailuropoda melanoleuca,Laurasiatheria,Carnivora,Ursidae,MNHN-ZO-AC,1874-273,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Nocturnal,Altricial
Ailurus Fulgens,Ailurus_fulgens,Ailurus fulgens,Laurasiatheria,Carnivora,Ailuridae,MNHN-ZO-AC,1960_85,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Altricial
Aletomeryx Scotti,Aletomeryx_scotti,Aletomeryx scotti,Laurasiatheria,Artiodactyla,Palaeomerycidae,AMNH,F:AM 99947,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Allodesmus Gracilis,Allodesmus_gracilis,Allodesmus kernensis,Laurasiatheria,Carnivora,Desmatophocidae,LACM,138167,Phenome10K,Extinct,Miocene,Aquatic,Carnivore,,,,
Alouatta Palliata,Alouatta_palliata,Alouatta palliata,Euarchontaglires,Primates,Atelidae,NHMUK ZD,1903.3.1.6,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Amblysomus Sp,Amblysomus_hottentotus,Amblysomus sp,Afrotheria,Afrosoricida,Chrysochloridae,LDUCZ,z.660,Phenome10K,Extant,Recent,Fossorial,Invertivore,Mixed terrestrial,Solitary,Nocturnal,Altricial
Anchitherium Agatensis,Anchitherium_agalensis,Anchitherium agatensis,Laurasiatheria,Perissodactyla,Equidae,FMNH,P12147,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Anomalurus Jacksoni,Anomalurus_beecrofti,Anomalurus beecrofti,Euarchontaglires,Rodentia,Anomaluridae,NHMUK ZD,1930.11.11.261,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Precocial
Anoplotherium Commune,Anoplotherium_commune,Anoplotherium commune,Laurasiatheria,Artiodactyla,Anoplotheriidae,MNHN.F,QU399,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,
Antilocapra Americana,Antilocapra_americana,Antilocapra americana,Laurasiatheria,Artiodactyla,Antilocapridae,NHMUK ZD,1867.10.5.1/GERM 635d,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Aotus Trivirgatus,Aotus_trivirgatus,Aotus trivirgatus,Euarchontaglires,Primates,Aotidae,MNHN-ZO-AC,1976-544,,Extant,Recent,Arboreal,Omnivore,Closed,Social,Nocturnal,Altricial
Apternodus Brevirostris,Apternodus_brevirostris,Apternodus brevirostris,Stem,Zalambdalestidae,Apternodontidae,AMNH,FM 22466,Morphosource,Extinct,Eocene,Terrestrial,Invertivore,,,,
Archaeolemur Edwardsi,Archaeolemur_edwardsi,Archaeolemur edwardsi,Euarchontaglires,Primates,Archaeolemuridae,MNHN.F,MAD8902,Phenome10K,Extinct,Holocene,Terrestrial,Herbivore,,,,
Arctictis Binturong,Arctictis_binturong,Arctictis binturong,Laurasiatheria,Carnivora,Viverridae,MNHN-ZO-AC,1936-1529,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Solitary,Nocturnal,Altricial
Arctodus Simum,Arctodus_simum,Arctodus simum,Laurasiatheria,Carnivora,Ursidae,AMNH,FM 8222,Morphosource,Extinct,Pleistocene,Terrestrial,Carnivore,,,,
Arsinoitherium Zitelli,Arsinoitherium_zitteli,Arsinoitherium zitelli,Afrotheria,Embrithopoda,Arsinoitheriidae,NHMUK PV M,8463,Phenome10K,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Aselliscus Tricuspidatus,Aselliscus_tricuspidatus,Aselliscus tricuspidatus,Laurasiatheria,Chiroptera,Hipposideridae,AMNH,M-151546,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Astrapotherium Magnum,Astrapotherium_magnum,Astrapotherium magnum,Laurasiatheria,Astrapotheria,Astrapotheriidae,FMNH,P14251,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Ateles Belzebuth,Ateles_belzebuth,Ateles belzebuth,Euarchontaglires,Primates,Atelidae,NHMUK ZD,1854.12.11.1,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Atherudus Africanus,Atherurus_africanus,Atherurus africanus,Euarchontaglires,Rodentia,Hystricidae,NHMUK ZD,1948.1291,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Nocturnal,Precocial
