Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development,Mesh Type
Bradypus Tridactylus,Bradypus_tridactylus,Bradypus tridactylus,Xenarthra,Pilosa,Bradypodidae,LDUCZ,z.132,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Diurnal,Precocial,Closed 
Brontops Brachycephalus,Brontops_brachycephalus,Brontops brachycephalus,Laurasiatheria,Perissodactyla,Brontotheriidae,ROM,1703,,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
Cacajao Calvus,Cacajao_calvus,Cacajao calvus,Euarchontaglires,Primates,Pitheciidae,NHMUK ZD,1928.4.27.6,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial,Closed 
Caenopus Copei,Caenopus_copei,Caenopus copei,Laurasiatheria,Perissodactyla,Rhinocerotidae,YPM,10253,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
Cainotherium Laticurvatum,Cainotherium_laticurvatum,Cainotherium laticurvatum,Laurasiatheria,Artiodactyla,Cainotheriidae,MNHN.F,SG13456,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,,Closed 
Callicebus Moloch,Callicebus_moloch,Plecturocebus moloch,Euarchontaglires,Primates,Pitheciidae,NHMUK ZD,1908.5.9.9,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial,Closed 
Callorhinus Ursinus,Callorhinus_ursinus,Callorhinus ursinus,Laurasiatheria,Carnivora,Otariidae,MVZ,175109,Digimorph,Extant,Recent,Aquatic,Piscivore,Aquatic,Solitary,Diurnal,Altricial,Open 
Callosciurus Caniceps,Callosciurus_caniceps,Callosciurus caniceps,Euarchontaglires,Rodentia,Sciuridae,NHMUK ZD,1920.12.4.18,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial,Closed 
Camelus Dromedarius,Camelus_dromedarius,Camelus dromedarius,Laurasiatheria,Artiodactyla,Camelidae,NMV,R5444,Digimorph,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial,Open 
Canis Lupus,Canis_lupus,Canis lupus,Laurasiatheria,Carnivora,Canidae,MNHN-ZO-AC,2015-1255,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Closed,Social,Diurnal,Altricial,Closed 
Caperea Marginata,Caperea_marginata,Caperea marginata,Laurasiatheria,Cetacea,Cetotheriidae,NHMUK ZD,1876.2.16.1,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial,Open 
Capra Ibex,Capra_ibex,Capra ibex,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1935.12.12.3,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Diurnal,Precocial,Closed 
Capricornis Sumatraensis,Capricornis_sumatraensis,Naemorhedus sumatraensis,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1924.5.29.1,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Diurnal,Precocial,Closed 
Cardioderma Cor,Cardioderma_cor,Cardioderma cor,Laurasiatheria,Chiroptera,Megadermatidae,AMNH,M-219723,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial,Open 
Carterodon Sulcidens,Carterodon_sulcidens,Carterodon sulcidens,Euarchontaglires,Rodentia,Echimyidae,NHMUK PV M,17617,Phenome10K,Extant,Recent,Semi-fossorial,Herbivore,Open,Solitary,Nocturnal,Altricial,Open 
Castor Canadensis,Castor_canadensis,Castor canadensis,Euarchontaglires,Rodentia,Castoridae,UMN,12157,Phenome10K,Extant,Recent,Aquatic,Herbivore,Closed,Social,Nocturnal,Precocial,Open 
Castoroides Ohioensis,Castoroides_ohioensis,Paracastoroides kansensis,Euarchontaglires,Rodentia,Castoridae,MNHN.F,1953-17,Phenome10K,Extinct,Pleistocene,Semi-aquatic,Herbivore,,,,,Closed 
Cavia Aperea,Cavia_aperea,Cavia aperea,Euarchontaglires,Rodentia,Caviidae,NHMUK ZD,1901.11.3.78,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial,Open 
Cebupithecus Sarmientoi,Cebupithecia_sarmientai,Cebupithecus sarmientoi,Euarchontaglires,Primates,Cebidae,AMNH,FM 45974,Morphosource,Extinct,Miocene,Arboreal,Omnivore,,,,,Closed 
Cebus Apella,Sapajus_apella,Sapajus apella,Euarchontaglires,Primates,Cebidae,NHMUK ZD,1925.2.1.1,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Social,Diurnal,Altricial,Closed 
Centurio Senex,Centurio_senex,Centurio senex,Laurasiatheria,Chiroptera,Phyllostomidae,AMNH,M-249109,Morphosource,Extant,Recent,Volant,Herbivore,Closed,Social,Nocturnal,Altricial,Open 
Cephalophus Nigrifrons,Cephalophus_nigrifrons,Cephalophus nigrifrons,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1934.4.1.205,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,All,Precocial,Closed 
Cephalorhynchus Commersoni,Cephalorhynchus_commersonii,Cephalorhynchus commersonii,Laurasiatheria,Cetacea,Delphinidae,USNM,550156,Phenome10K,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial,Closed 
Ceratogaulus Hatcheri,Ceratogaulus_hatcheri,Ceratogaulus hatcheri,Euarchontaglires,Rodentia,Mylagaulidae,FMNH,P14914,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,,Closed 
Cervus Elaphus,Cervus_elaphus,Cervus elaphus,Laurasiatheria,Artiodactyla,Cervidae,NHMUK ZD,2005.16,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Diurnal,Precocial,Open 
Cheirogaleus Medius,Cheirogaleus_medius,Cheirogaleus medius,Euarchontaglires,Primates,Cheirogaleidae,MNHN-ZO-AC,1986-430,,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Chironax Melanocephalus,Chironax_melanocephalus,Chironax melanocephalus,Laurasiatheria,Chiroptera,Pteropodidae,AMNH,M-266200,Morphosource,Extant,Recent,Volant,Herbivore,Closed,Social,Nocturnal,Altricial,Open 
Choloepus Hoffmanni,Choloepus_hoffmanni,Choloepus hoffmanni,Xenarthra,Pilosa,Megalonychidae,AMNH,M-30765,Digimorph,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Precocial,Closed 
Chrotopterus Auritus,Chrotopterus_auritus,Chrotopterus auritus,Laurasiatheria,Chiroptera,Phyllostomidae,AMNH,M-278292,Morphosource,Extant,Recent,Volant,Carnivore,Closed,Social,Nocturnal,Altricial,Open 
Chrysophylax Trevelyan,Chrysospalax_trevelyani,Chrysospalax trevelyani,Afrotheria,Afrosoricida,Chrysochloridae,LDUCZ,z.660,Phenome10K,Extant,Recent,Fossorial,Invertivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Cistugo Lesueuri,Cistugo_lesueuri,Cistugo lesueuri,Laurasiatheria,Chiroptera,Cistugidae,AMNH,M-244302,Morphosource,Extant,Recent,Volant,Invertivore,Open,Social,Nocturnal,Altricial,Open 
Coelodonta Antiquitatus,Coelodonta_antiquitatus,Coelodonta antiquitatus,Laurasiatheria,Perissodactyla,Rhinocerotidae,FMNH,P14783,Morphosource,Extinct,Pliocene,Terrestrial,Herbivore,,,,,Closed 
Colobus Guereza,Colobus_guereza,Colobus guereza,Euarchontaglires,Primates,Cercopithecidae,NHMUK ZD,1928.11.11.2,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial,Closed 
Coronodon Havensteini,Coronodon_havensteini,Coronodon havensteini,Laurasiatheria,Cetacea,Aetiocetidae,CCNHM,108,Phenome10K,Extinct,Oligocene,Aquatic,Carnivore,Aquatic,,,,Open 
Coryphodon Anthracoides,Coryphodon_hamatus,Coryphodon anthracoides,Laurasiatheria,Amblypoda,Coryphodontidae,YPM,VPPU.011330,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
Cotylocara Macei,Cotylocara_macei,Cotylocara macei,Laurasiatheria,Cetacea,Xenorophidae,CCNHM,101,Phenome10K,Extinct,Oligocene,Aquatic,Carnivore,,,,,Open 
Craseonycteris Thonglongyai,Craseonycteris_thonglongyai,Craseonycteris thonglongyai,Laurasiatheria,Chiroptera,Craseonycteridae,USNM,M-528306,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial,Open 
Cricetomys Gambianus,Cricetomys_gambianus,Cricetomys gambianus,Euarchontaglires,Rodentia,Nesomyidae,NHMUK ZD,1934.4.1.158,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Mixed terrestrial,Social,Nocturnal,Altricial,Closed 
Cricetus Cricetus,Cricetus_cricetus,Cricetus cricetus,Euarchontaglires,Rodentia,Cricetidae,NHMUK ZD,1919.7.7.2605,Phenome10K,Extant,Recent,Fossorial,Herbivore,Open,Solitary,Crepuscular,Altricial,Closed 
Cryptomys Mechowi,Fukomys_mechowi,Cryptomys mechowi,Euarchontaglires,Rodentia,Bathyergidae,NHMUK ZD,1935.1.6.176,Phenome10K,Extant,Recent,Fossorial,Herbivore,Open,Social,All,Altricial,Closed 
Ctenomys Knighti,Ctenomys_knighti,Ctenomys knighti,Euarchontaglires,Rodentia,Ctenomyidae,NHMUK ZD,1925.3.1.65,Phenome10K,Extant,Recent,Fossorial,Herbivore,Open,Solitary,All,Altricial,Closed 
Cuniculus Paca,Cuniculus_paca,Cuniculus paca,Euarchontaglires,Rodentia,Cuniculidae,NHMUK ZD,1904.12.4.13,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Nocturnal,Precocial,Closed 
Cyclopes Didactylus,Cyclopes_didactylus,Cyclopes didactylus,Xenarthra,Pilosa,Cyclopedidae,NHMUK ZD,1903.12.6.10,Phenome10K,Extant,Recent,Arboreal,Social insectivore,Closed,Solitary,Nocturnal,Precocial,Closed 
Cynocephalus Volans,Cynocephalus_volans,Cynocephalus volans,Euarchontaglires,Dermoptera,Cynocephalidae,LDUCZ,z.890,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Crepuscular,Altricial,Open 
Cynomys Ludovicianus,Cynomys_ludovicianus,Cynomys ludovicianus,Euarchontaglires,Rodentia,Sciuridae,UM,96071,Digimorph,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Altricial,Open 
Dacrytherium Sp,Dacrytherium_sp,Dacrytherium sp,Laurasiatheria,Artiodactyla,Anoplotheriidae,MNHN.F,QU17146,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,,Closed 
Daphaenus Vetus,Daphoenus_vetus,Daphaenus vetus,Laurasiatheria,Carnivora,Amphicyonidae,YPM,VPPU.012648,Phenome10K,Extinct,Eocene,Terrestrial,Carnivore,,,,,Closed 
Dasyprocta Mexicana,Dasyprocta_mexicana,Dasyprocta mexicana,Euarchontaglires,Rodentia,Dasyproctidae,UMN,14040,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Diurnal,Precocial,Open 
Dasypus Novemictus,Dasypus_novemcinctus,Dasypus novemcinctus,Xenarthra,Cingulata,Dasypodidae,LDUCZ,z.134,Phenome10K,Extant,Recent,Semi-fossorial,Invertivore,Mixed terrestrial,Solitary,Nocturnal,Precocial,Closed 
Daubentonia Madagascariensis,Daubentonia_madagascariensis,Daubentonia madagascariensis,Euarchontaglires,Primates,Daubentoniidae,NHMUK ZD,1888.2.18.2/GERM 1359d,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Delphinapterus Leucas,Delphinapterus_leucas,Delphinapterus leucas,Laurasiatheria,Cetacea,Monodontidae,USNM,305071,Phenome10K,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial,Open 
Delphinus Delphis,Delphinus_delphis,Delphinus delphis,Laurasiatheria,Cetacea,Delphinidae,AMNH,35401,Morphosource,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial,Closed 
Deomys Ferrugineus,Deomys_ferrugineus,Deomys ferrugineus,Euarchontaglires,Rodentia,Muridae,MNHN,1622,Phenome10K,Extant,Recent,Terrestrial,Social insectivore,Closed,Solitary,Crepuscular,,Closed 
Desmocyon Matthewii,Desmocyon_matthewsi,Desmocyon matthewii,Laurasiatheria,Carnivora,Canidae,AMNH,F:AM 49177,Morphosource,Extinct,Miocene,Terrestrial,Carnivore,,,,,Closed 
Diaemus Youngi,Diaemus_youngi,Diaemus youngi,Laurasiatheria,Chiroptera,Phyllostomidae,AMNH,M-246230,Morphosource,Extant,Recent,Volant,Carnivore,Closed,Social,Nocturnal,Altricial,Open 
Diceros Bicornis,Diceros_bicornis,Diceros bicornis,Laurasiatheria,Perissodactyla,Rhinocerotidae,NHMUK ZD,1933.5.5.1,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Mixed terrestrial,Solitary,Diurnal,Precocial,Closed 
Dinictis Squalidens,Dinictis_squalidens,Dinictis squalidens,Laurasiatheria,Carnivora,Nimravidae,YPM,VPPU.013587,Phenome10K,Extinct,Oligocene,Terrestrial,Carnivore,,,,,Closed 
